Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend,Rolling Mean,Bollinger High,Bollinger Low
2019-05-10,239.75,241.990005,236.020004,239.520004,239.520004,7008300,5,2019,5.510774536601337,Among Top Gainers,209.01571449999983,247.15392098238502,170.87750801761464
2019-05-09,242.0,243.679993,236.940002,241.979996,241.979996,6711400,5,2019,1.0270507510512503,Positive,212.85571414285695,252.75922419760147,172.95220408811244
2019-05-08,246.940002,250.600006,244.199997,244.839996,244.839996,6176400,5,2019,1.1819158803523466,Positive,216.78285664285698,257.7452035583949,175.82050972731903
2019-05-07,256.799988,257.209991,245.100006,247.059998,247.059998,10131400,5,2019,0.9067154207926142,Slight Positive,220.95142814285697,261.47872381389556,180.42413247181838
2019-05-06,250.020004,258.350006,248.5,255.339996,255.339996,10833900,5,2019,3.3514118299312834,Among Top Gainers,225.5735703571427,265.964302818916,185.1828378953694
2019-05-03,243.860001,256.609985,243.490005,255.02999900000003,255.02999900000003,23706800,5,2019,-0.1214055787797319,Slight or No Change,229.8264270714284,269.09485966296864,190.55799447988815
2019-05-02,245.520004,247.130005,237.720001,244.100006,244.100006,18159300,5,2019,-4.2857675735629925,Among Top Losers,233.49571349999982,267.0109473304305,199.98047966956915
2019-05-01,238.850006,240.0,231.5,234.00999500000003,234.00999500000003,10704400,5,2019,-4.133556227770009,Among Top Losers,235.56214157142838,264.82834942317874,206.29593371967803
2019-04-30,242.059998,244.210007,237.0,238.690002,238.690002,9464600,4,2019,1.999917567623544,Positive,237.94285592857122,261.4893761707905,214.39633568635196
2019-04-29,235.860001,243.979996,232.169998,241.470001,241.470001,16714500,4,2019,1.1646901741615423,Positive,240.1171417857141,257.86650033436797,222.36778323706022
2019-04-26,246.5,246.679993,231.130005,235.139999,235.139999,22360700,4,2019,-2.6214444750012444,Negative,240.60357014285697,257.3036560865948,223.90348419911913
2019-04-25,255.0,259.0,246.070007,247.630005,247.630005,21849400,4,2019,5.311731756875604,Among Top Gainers,241.7235707142855,258.0220054665001,225.42513596207093
2019-04-24,263.850006,265.320007,258.0,258.660004,258.660004,10727500,4,2019,4.4542255693125865,Among Top Gainers,243.60571399999978,261.251455297352,225.95997270264758
2019-04-23,260.149994,265.600006,255.75,263.899994,263.899994,10943900,4,2019,2.025821510464354,Positive,246.2407139285712,264.2252745818218,228.25615327532063
2019-04-22,269.0,269.679993,262.480011,262.75,262.75,12147100,4,2019,-0.4357688617454003,Slight or No Change,247.89999935714263,267.4333063119484,228.36669240233687
2019-04-18,271.230011,274.839996,269.75,273.26001,273.26001,5876300,4,2019,4.000003805899155,Among Top Gainers,250.13428607142833,273.5254937705357,226.74307837232098
2019-04-17,274.75,274.790009,268.540009,271.230011,271.230011,5126500,4,2019,-0.7428818435599283,Slight Negative,252.0192871428569,277.71267353298606,226.32590075272773
2019-04-16,265.75,275.0,264.720001,273.359985,273.359985,7272900,4,2019,0.7853017415539565,Slight Positive,253.8978576428569,281.7817504023495,226.01396488336434
2019-04-15,268.630005,268.880005,258.630005,266.380005,266.380005,10038600,4,2019,-2.5534022472235685,Negative,254.68642971428545,283.35928308823446,226.01357634033644
2019-04-12,270.220001,271.950012,266.829987,267.700012,267.700012,6746000,4,2019,0.495535316173612,Slight or No Change,255.5914306428569,285.09866366740346,226.08419761831036
2019-04-11,268.299988,270.5,265.600006,268.420013,268.420013,9835900,4,2019,0.26895815006535706,Slight or No Change,257.3285739999997,286.78504487771613,227.87210312228328
2019-04-10,276.73999,278.380005,272.890015,276.059998,276.059998,7061300,4,2019,2.846279945601537,Positive,260.3321456428569,288.07149215364103,232.5927991320728
2019-04-09,271.649994,275.0,269.609985,272.309998,272.309998,5904000,4,2019,-1.3584003575918269,Negative,262.7335739285712,288.12365331778176,237.34349453936068
2019-04-08,277.690002,281.160004,270.440002,273.200012,273.200012,10410400,4,2019,0.3268385320174705,Slight or No Change,265.00000328571406,287.7401770946727,242.2598294767554
2019-04-05,269.859985,276.100006,266.109985,274.959991,274.959991,13038300,4,2019,0.6442089760962277,Slight Positive,267.84428842857125,283.2859650861597,252.40261177098276
2019-04-04,261.890015,271.200012,260.589996,267.77999900000003,267.77999900000003,23720700,4,2019,-2.611286090709819,Negative,269.2835737142855,279.4715419909493,259.09560543762177
2019-04-03,287.320007,296.170013,287.170013,291.809998,291.809998,7929900,4,2019,8.973784109992453,Bull Run,271.65143042857125,285.8306990326317,257.4721618245108
2019-04-02,288.299988,289.440002,283.880005,285.880005,285.880005,5478900,4,2019,-2.0321418185267337,Negative,273.22143121428553,288.52630044513256,257.9165619834385
2019-04-01,282.619995,289.200012,281.27999900000003,289.179993,289.179993,8110400,4,2019,1.1543262705623778,Positive,275.10928785714265,291.3422610129478,258.8763147013375
2019-03-29,278.700012,280.160004,274.5,279.859985,279.859985,5991300,3,2019,-3.222908992877671,Among Top Losers,275.58071464285695,291.9649800455182,259.1964492401957
2019-03-28,277.160004,280.329987,275.100006,278.619995,278.619995,6774100,3,2019,-0.4430751327310967,Slight or No Change,276.10857064285693,292.36470559893075,259.8524356867831
2019-03-27,268.75,275.369995,268.179993,274.829987,274.829987,8779200,3,2019,-1.3602785399518758,Negative,276.21357078571407,292.4121172991748,260.01502427225336
2019-03-26,264.440002,270.26001,264.429993,267.769989,267.769989,7350900,3,2019,-2.5688601440715497,Negative,276.31285535714267,292.2669626949729,260.35874801931243
2019-03-25,259.709991,263.179993,254.460007,260.420013,260.420013,10215000,3,2019,-2.7448841550350207,Negative,275.7928554285712,293.3502319332429,258.2354789238995
2019-03-22,272.579987,272.799988,264.0,264.52999900000003,264.52999900000003,8745600,3,2019,1.5782143440719487,Positive,275.51499728571406,293.68735189374803,257.3426426776801
2019-03-21,272.600006,276.450012,268.450012,274.019989,274.019989,5947100,3,2019,3.587491035374013,Among Top Gainers,275.36928235714265,293.55552228002006,257.18304243426525
2019-03-20,269.690002,274.970001,266.299988,273.600006,273.600006,6908200,3,2019,-0.1532672859132167,Slight or No Change,275.4614257857141,293.5938875433174,257.32896402811076
2019-03-19,267.5,273.299988,263.459991,267.470001,267.470001,11800600,3,2019,-2.2404988543750397,Negative,275.0521392857141,293.65700806261833,256.4472705088098
