Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend
2019-02-08,306.829987,307.450012,298.5,305.799988,305.799988,5844200,2,2019,-2.250354203431204,Negative
2019-02-07,313.299988,314.700012,303.0,307.51001,307.51001,6520600,2,2019,0.5591962286146446,Slight Positive
2019-02-06,319.589996,324.23999,315.619995,317.22000099999997,317.22000099999997,5038500,2,2019,3.157617860960027,Among Top Gainers
2019-02-05,312.48999,322.440002,312.25,321.350006,321.350006,6742800,2,2019,1.3019371373118593,Positive
2019-02-04,312.980011,315.299988,301.880005,312.890015,312.890015,7352100,2,2019,-2.6326406852471007,Negative
2019-02-01,305.420013,316.100006,303.5,312.209991,312.209991,7283400,2,2019,-0.21733643369860056,Slight or No Change
2019-01-31,301.0,311.559998,294.0,307.019989,307.019989,12569200,1,2019,-1.6623433424973189,Negative
2019-01-30,300.450012,309.0,298.48999,308.769989,308.769989,11250300,1,2019,0.569995460458439,Slight Positive
2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700,1,2019,-3.6629201032876257,Among Top Losers
2019-01-28,292.910004,297.459991,287.75,296.380005,296.380005,6423300,1,2019,-0.3630693312298372,Slight or No Change
2019-01-25,294.390015,298.519989,289.549988,297.040009,297.040009,7249600,1,2019,0.2226884367587445,Slight or No Change
2019-01-24,283.02999900000003,293.679993,279.27999900000003,291.51001,291.51001,8012200,1,2019,-1.8617017345969655,Negative
2019-01-23,292.5,294.5,281.690002,287.589996,287.589996,12530000,1,2019,-1.3447270644325493,Negative
2019-01-22,304.820007,308.0,295.5,298.920013,298.920013,12066700,1,2019,3.939642253759068,Among Top Gainers
2019-01-18,323.0,327.130005,299.730011,302.26001,302.26001,24150800,1,2019,1.1173547620580537,Positive
2019-01-17,346.209991,351.5,344.149994,347.309998,347.309998,3676700,1,2019,14.904382488440993,Bull Run
2019-01-16,344.77999900000003,352.0,343.5,346.049988,346.049988,4691700,1,2019,-0.3627911684822904,Slight or No Change
2019-01-15,335.0,348.799988,334.5,344.429993,344.429993,6056600,1,2019,-0.46813901348841114,Slight or No Change
2019-01-14,342.380005,342.5,334.0,334.399994,334.399994,5247300,1,2019,-2.912057371263843,Negative
2019-01-11,342.089996,348.410004,338.769989,347.26001,347.26001,5039100,1,2019,3.845698633595074,Among Top Gainers
